,Account length,International plan,Voice mail plan,Number vmail messages,Total day charge,Total eve charge,Total night charge,Total intl charge,Customer service calls,Churn
0,128,0,1,25,45.07,16.78,11.01,2.7,1,0
1,107,0,1,26,27.47,16.62,11.45,3.7,1,0
2,137,0,0,0,41.38,10.3,7.32,3.29,0,0
3,84,1,0,0,50.9,5.26,8.86,1.78,2,0
4,75,1,0,0,28.34,12.61,8.41,2.73,3,0
5,118,1,0,0,37.98,18.75,9.18,1.7,0,0
6,121,0,1,24,37.09,29.62,9.57,2.03,3,0
7,147,1,0,0,26.69,8.76,9.53,1.92,0,0
8,117,0,0,0,31.37,29.89,9.71,2.35,1,0
9,141,1,1,37,43.96,18.87,14.69,3.02,0,0
10,65,0,0,0,21.95,19.42,9.4,3.43,4,1
11,74,0,0,0,31.91,13.89,8.82,2.46,0,0
12,168,0,0,0,21.9,8.92,6.35,3.02,1,0
13,95,0,0,0,26.62,21.05,8.65,3.32,3,0
14,62,0,0,0,20.52,26.11,9.14,3.54,4,0
15,161,0,0,0,56.59,27.01,7.23,1.46,4,1
16,85,0,1,27,33.39,23.88,4.02,3.73,1,0
17,93,0,0,0,32.42,18.55,5.83,2.19,3,0
18,76,0,1,33,32.25,18.09,7.46,2.7,1,0
19,73,0,0,0,38.15,13.56,8.68,3.51,1,0
20,147,0,0,0,26.37,20.37,9.4,2.86,0,0
21,77,0,0,0,10.61,14.44,9.43,1.54,5,1
23,111,0,0,0,18.77,11.67,8.53,2.08,2,0
24,132,0,0,0,13.79,20.84,10.67,2.78,0,0
25,174,0,0,0,21.13,23.55,11.28,4.19,3,0
26,57,0,1,39,36.21,16.24,8.22,2.57,0,0
27,54,0,0,0,22.83,13.22,4.59,3.97,3,0
28,20,0,0,0,32.3,21.95,8.17,1.7,0,0
29,49,0,0,0,20.28,18.28,8.04,3.0,1,0
30,142,0,0,0,14.42,11.62,11.27,3.83,2,0
31,75,0,0,0,38.44,17.13,11.08,2.78,1,0
33,12,0,0,0,42.43,21.45,12.61,3.19,1,1
34,57,0,1,25,30.06,16.58,9.61,2.24,0,0
35,72,0,1,37,37.4,18.47,6.88,3.97,3,0
36,36,0,1,30,24.87,13.81,5.82,3.92,0,0
37,78,0,0,0,22.24,19.01,10.25,2.7,1,0
38,136,1,1,33,34.66,15.95,4.58,2.84,3,0
39,149,0,0,0,23.87,23.1,8.47,3.0,1,0
40,98,0,0,0,21.47,14.18,8.45,2.54,3,0
42,34,0,0,0,21.22,23.99,14.02,2.7,2,0
43,160,0,0,0,14.59,14.05,8.03,2.48,3,0
44,64,0,0,0,26.18,19.19,11.94,0.95,1,0
45,59,0,1,28,20.55,18.11,7.34,2.3,2,0
46,65,0,0,0,35.92,13.82,6.06,3.56,3,0
47,142,0,0,0,31.79,11.44,10.9,2.0,2,0
48,119,0,0,0,27.05,19.66,6.44,2.38,5,1
49,97,0,1,24,22.64,18.46,3.18,2.97,1,0
50,52,0,0,0,32.62,22.93,10.66,2.11,3,0
51,60,0,0,0,37.5,17.94,11.21,1.84,1,0
52,10,0,0,0,31.64,16.17,12.73,3.08,2,0
53,96,0,0,0,27.23,22.74,10.28,2.51,2,0
54,87,0,0,0,25.67,18.67,9.18,2.62,5,1
55,81,0,0,0,29.84,21.19,12.16,2.75,1,0
56,141,0,0,0,21.57,15.3,6.34,2.16,1,0
57,121,0,1,30,33.73,6.4,8.15,1.57,3,1
59,125,0,0,0,38.98,15.08,8.52,3.24,1,0
60,174,0,0,0,32.66,14.44,7.5,3.08,1,0
61,116,0,1,34,45.66,15.15,7.48,3.13,2,0
62,74,0,1,33,32.93,20.92,6.21,3.94,2,0
63,149,0,1,28,30.72,15.96,11.95,3.4,3,0
64,38,0,0,0,22.3,13.85,7.15,2.21,2,0
65,40,0,1,41,25.18,14.41,9.63,1.67,2,0
66,43,1,0,0,42.76,18.09,7.1,2.51,0,0
67,113,1,0,0,21.28,17.54,5.82,2.24,0,0
68,126,0,0,0,35.97,18.44,6.91,2.11,1,0
69,150,0,0,0,30.41,14.37,6.69,3.73,4,1
70,138,0,0,0,41.11,14.49,13.29,3.19,3,0
71,162,0,1,46,38.23,16.0,11.46,3.27,0,0
72,147,0,0,0,42.26,12.66,7.76,2.16,3,0
73,90,0,0,0,34.58,19.27,6.86,1.97,1,0
74,85,0,0,0,40.09,13.36,8.47,3.24,0,0
75,50,0,0,0,26.71,18.98,8.16,1.65,1,0
76,82,0,0,0,51.05,15.39,12.15,3.16,0,1
77,144,0,0,0,10.47,6.55,7.79,2.21,4,1
78,46,0,0,0,36.4,13.97,7.99,2.21,2,0
79,70,0,0,0,28.93,13.19,10.29,4.05,1,0
80,144,0,0,0,34.19,25.8,10.08,3.56,1,0
81,116,1,0,0,36.62,17.41,12.53,3.4,3,0
82,55,0,1,25,28.15,11.57,7.91,2.97,3,0
83,70,0,1,24,42.42,22.07,10.02,2.65,1,0
84,106,0,0,0,35.8,21.18,8.61,3.35,2,1
85,128,0,1,29,30.48,19.2,14.54,2.32,0,0
86,94,0,0,0,26.84,13.18,8.53,2.16,4,1
87,111,0,0,0,36.43,17.72,8.21,3.24,1,0
88,74,0,1,35,26.2,10.49,9.09,2.94,2,0
89,128,0,0,0,40.44,21.05,9.4,3.75,1,1
90,82,0,0,0,24.46,16.57,4.93,3.0,1,0
91,155,0,0,0,34.58,16.23,8.82,2.4,0,1
92,80,0,0,0,21.13,14.71,11.39,2.13,1,0
93,78,0,0,0,42.99,15.16,11.88,2.57,3,0
94,90,0,0,0,30.45,16.2,5.75,2.86,3,0
95,104,0,0,0,47.33,6.89,7.34,2.65,1,0
96,73,0,0,0,27.22,18.13,7.83,3.51,0,0
97,99,0,0,0,33.69,17.62,8.59,2.35,4,0
98,120,0,0,0,36.06,17.8,7.52,1.43,1,1
99,77,0,0,0,42.81,17.48,12.38,2.65,2,1
100,98,0,1,21,27.4,21.44,7.21,1.19,4,0
101,108,0,0,0,30.31,16.07,5.81,3.94,0,0
