State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
Indiana,171,510,No,No,28,154.53327184084193,86,26.27018861392873,140.0704843719047,75,11.905036825520227,239.33077435020357,102,10.767968081929727,10.903160359221129,2,2.9436081390441844,0,False
Delaware,156,415,No,No,0,143.69235466186734,96,24.42588909334839,225.64548620590583,79,19.181972953685104,276.0671763836516,89,12.425365352956367,12.265410113160435,8,3.3161181482044197,1,False
Rhode Island,89,408,No,No,0,163.09042239246747,88,27.728276513811867,116.328022956686,114,9.889154156567923,128.56167895670112,101,5.788617179011084,10.038934087867991,2,2.711646548021196,3,False
Indiana,163,415,No,No,0,89.92895267552213,125,15.284994618391694,219.19047716652454,106,18.635787599529596,225.070344118801,86,10.129720740762908,5.841145606128997,4,1.5743997863915435,4,False
Pennsylvania,82,415,Yes,Yes,35,103.91317350335356,124,17.662723566221466,159.3068518675999,93,13.539764991833895,212.40918306153682,99,9.558856480923689,14.293385217653366,4,3.8573601722969255,1,False
Connecticut,81,415,No,No,20,261.6738149038819,97,44.48622298594654,275.77189306726,97,23.43675720451905,251.44936078733838,73,11.318417752454444,9.906410480691505,1,2.667549816545534,4,True
South Carolina,209,415,No,No,0,109.34118546772062,91,18.592643689226346,256.9484403677366,96,21.840522843811897,262.53953330155286,140,11.810763645192905,10.797317089695545,1,2.9078020192563994,1,False
Oklahoma,89,415,No,No,0,145.13025354878042,71,24.671470187554196,262.6372415202399,120,22.32165789989702,224.48065126301162,125,10.1003792354068,7.082489193524325,9,1.9131766413984588,1,False
Kansas,59,415,No,No,0,74.80776460914066,53,12.717749629679144,211.1815291657187,119,17.952579387657213,268.6323203200764,84,12.088338172251527,8.485777246925796,2,2.2879743502846663,3,False
Montana,61,510,No,Yes,29,67.13164827821006,115,11.412945595975174,206.88149875079353,123,17.581886915973705,259.50924904429456,59,11.67874058810131,14.942680541507567,5,4.035967866899954,0,False
Oklahoma,97,510,No,No,0,123.71348193975264,88,21.034753442298623,227.02429166753075,61,19.29370991091076,91.41729554869015,110,4.112610304654497,10.309566429934044,11,2.782452485224338,1,False
Kansas,69,415,No,No,4,115.97717816194324,60,19.715207908997115,199.46531021118923,63,16.960578173038712,305.8589967282786,111,13.764860064705548,8.871919472159108,4,2.396878757212222,0,False
New York,1,415,No,No,26,228.57888319887482,92,38.858923042952796,166.94007886163902,114,14.193738427687379,201.30443187145187,135,9.056001562864973,11.299157765122288,2,3.051710582120786,0,False
New Hampshire,71,408,No,No,0,34.50743748790151,128,5.866984339912616,188.25574546413557,84,15.998631199721263,149.67612444527234,106,6.738050998545996,8.802888206126639,4,2.377516667607616,1,False
Alaska,135,415,No,No,0,227.34128714958595,100,38.646778174112725,76.31364834628272,119,6.489511787522707,219.44281722492795,121,9.874639967471833,10.209823647109207,7,2.762121105245328,0,False
